Year,Size
1763,3358
1764,3327
1765,3335
1766,3344
1767,3356
1768,3325
1769,3418
1770,3357
1771,3373
1772,3419
1773,3368
1774,3393
1775,6435
1776,6502
1777,6432
1778,6233
1779,6158
1780,6277
1781,7729
1782,7770
1783,7838
1784,7929
1785,7822
1786,7857
1787,6339
1788,6424
1789,7751
1790,7702
1791,7718
1792,7754
1793,6322
1794,7677
1795,7766
1796,7773
1797,9174
1798,9116
1799,6329
1800,7727
1801,7752
1802,9123
1803,7858
1804,8709
1805,9023
1806,8639
1807,8731
1808,8875
1809,8736
1810,8765
1811,8790
1812,8858
1813,9393
1814,12140
1815,15282
1816,15186
1817,15064
1818,15096
1819,15100
1820,15368
1821,15183
1822,15366
1823,16178
1824,19566
1825,19706
1826,19982
1827,22600
1828,22597
1829,22850
1830,23039
1831,22981
1832,24099
1833,28718
1834,28559
1835,29203
1836,30066
1837,29663
1838,32159
1839,29761
1840,34807
1841,35950
1842,38642
1843,38428
1844,42257
1845,46156
1846,43510
1847,45014
1848,43801
1849,46100
1850,46162
1851,53942
1852,58274
1853,57673
1854,56548
1855,60272
1856,72670
1857,78635
1858,112312
1859,118703
1860,125540
1861,129755
1862,125723
1863,141287
1864,139789
1865,145257
1866,188459
1867,237921
1868,257506
1869,305230
1870,355084
1871,478357
1872,652507
1873,734687
1874,820791
1875,904919
1876,999885
1877,1114978
1878,1342400
1879,1538116
1880,1902644
1881,2423109
1882,2781762
1883,3114237
1884,3779904
1885,4351537
1886,4795062
1887,5395545
1888,5818205
1889,6326218
1890,6920839
1891,7253013
1892,8462442
1893,15516245
1894,16567851
1895,17917698
1896,19332812
1897,20872937
1898,21794407
1899,22700952
1900,24336841
1901,31706012
1902,32886384
1903,33660062
1904,34812175
1905,36585272
1906,37481262
1907,38648318
1908,39546046
1909,41606853
1910,43061758
1911,44771484
1912,46604488
1913,47957296
1914,49524502
1915,51064165
1916,52775726
1917,53049849
1918,51751526
1919,51172662
1920,51523715
1921,51976899
1922,52991786
1923,54049204
1924,55120639
1925,55488083
1926,56968872
1927,58011048
1928,58778318
1929,60037200
1930,61790362
1931,63880256
1932,65148533
1933,65800174
1934,66307957
1935,67484740
1936,72120629
1937,73944657
1938,75508065
1939,77887572
1940,80794561
1941,83426962
1942,86080462
1943,87393323
1944,89592105
1945,92888819
1946,93637196
1947,96205468
1948,113945616
1949,129580700
1950,133412298
1951,138488738
1952,140470177
1953,142350529
1954,145311928
1955,148575733
1956,151453029
1957,154780951
1958,156547861
1959,160538756
1960,163916212
1961,169644718
1962,173399072
1963,177698967
1964,178917920
1965,184305621
1966,187038607
1967,189218306
1968,189123086
1969,191403853
1970,192907037
1971,183791008
1972,182786757
1973,191754717
1974,193334332
1975,192712958
1976,192619974
1977,192307060
1978,192906924
1979,193570416
1980,194424553
1981,198552484
1982,200430771
1983,202192765
1984,198974417
1985,197218960
1986,195764826
1987,195735803
1988,196675478
1989,197087415
1990,197232897
1991,197776512
1992,197773341
1993,196173163
1994,195033397
1995,194495954
1996,194661682
1997,192815021
1998,194281477
1999,197167444
2000,198895721
2001,201157448
2002,203270754
2003,207993792
2004,211630534
2005,208866094
2006,210828782
2007,215166023
2008,225927991
2009,230341316
2010,232080599
2011,220857715
2012,216524992
2013,210474832
2014,205377559
2015,207618101
2016,209584081
2017,207342349
2018,151565589
2019,150058584
2020,149689670
2021,146936025
2022,25985757
